epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,462.113,0.8617,0.46634,1.06115,0.98218,0.9569,0.98282,0.79192,0.76831,0.40749,1.00744,0.000911,0.000911,0.000911
57,470.791,0.84828,0.46001,1.05484,0.97808,0.95958,0.98428,0.80023,0.75606,0.39547,1.00287,0.0008912,0.0008912,0.0008912
58,478.566,0.85132,0.46019,1.05441,0.98124,0.95674,0.98367,0.7933,0.76916,0.40303,1.00328,0.0008714,0.0008714,0.0008714
59,485.467,0.84337,0.4577,1.05273,0.97885,0.95751,0.98322,0.79866,0.76256,0.39394,1.00271,0.0008516,0.0008516,0.0008516
60,492.842,0.83412,0.45372,1.04946,0.97938,0.95995,0.98339,0.80239,0.75023,0.39454,0.99862,0.0008318,0.0008318,0.0008318
61,500.021,0.83512,0.45309,1.04414,0.98167,0.9575,0.98374,0.80451,0.74648,0.39092,0.99631,0.000812,0.000812,0.000812
62,507.2,0.84038,0.45477,1.04645,0.9814,0.95659,0.98359,0.79731,0.77103,0.39684,1.0055,0.0007922,0.0007922,0.0007922
63,514.447,0.83259,0.45157,1.04556,0.98037,0.95726,0.984,0.80158,0.74961,0.39005,0.99435,0.0007724,0.0007724,0.0007724
64,521.707,0.83647,0.4508,1.04849,0.97988,0.95725,0.98407,0.80046,0.75723,0.39244,0.99454,0.0007526,0.0007526,0.0007526
65,530.094,0.82672,0.44712,1.04272,0.98115,0.95757,0.98511,0.80885,0.74493,0.387,0.99266,0.0007328,0.0007328,0.0007328
66,538.572,0.82466,0.44753,1.0425,0.98367,0.95984,0.9854,0.80297,0.7475,0.3843,0.99335,0.000713,0.000713,0.000713
67,547.14,0.8279,0.44792,1.03996,0.97945,0.96399,0.98464,0.80561,0.74941,0.38879,0.99608,0.0006932,0.0006932,0.0006932
68,555.446,0.8195,0.44459,1.04097,0.98015,0.95953,0.98389,0.80843,0.73273,0.38434,0.98704,0.0006734,0.0006734,0.0006734
69,563.371,0.80978,0.43904,1.03372,0.9828,0.96201,0.98517,0.81108,0.7357,0.38133,0.98534,0.0006536,0.0006536,0.0006536
70,571.434,0.81014,0.44031,1.03663,0.98202,0.96209,0.98413,0.81173,0.72908,0.37975,0.98739,0.0006338,0.0006338,0.0006338
